Date,GA confirmed,HI confirmed,GA deaths,HI deaths
2020-08-03,195435,2448,3842,26
2020-08-04,197948,2591,3921,27
2020-08-05,201713,2763,3984,27
2020-08-06,204895,2815,4026,29
2020-08-07,209004,3115,4117,31
2020-08-08,213427,3346,4186,31
2020-08-09,216596,3498,4199,31
2020-08-10,219025,3638,4229,34
2020-08-11,222588,3756,4351,34
2020-08-12,226153,3958,4456,38
2020-08-13,228668,4312,4538,40
2020-08-14,231895,4543,4573,40
2020-08-15,235168,4825,4669,40
2020-08-16,237030,5042,4702,40
2020-08-17,238861,5215,4727,40
2020-08-18,241677,5349,4794,41
2020-08-19,243982,5609,4849,42
2020-08-20,246741,5844,4904,45
2020-08-21,249630,6072,4998,46
2020-08-22,252222,6356,5092,47
2020-08-23,253949,6600,5132,47
2020-08-24,256253,6769,5156,49
2020-08-25,258354,6984,5262,49
2020-08-26,260590,7260,5311,51
2020-08-27,263074,7566,5393,55
2020-08-28,265372,7830,5471,59
2020-08-29,267758,8139,5576,62
2020-08-30,268973,8339,5604,63
2020-08-31,270471,8472,5633,70
2020-09-01,272697,8653,5733,74
2020-09-02,274613,8991,5795,75
2020-09-03,277288,9202,5868,79
2020-09-04,279354,9473,5931,81
2020-09-05,281548,9693,5977,84
2020-09-06,283199,9855,6037,85
2020-09-07,283807,9959,6044,86
2020-09-08,285350,10025,6070,88
2020-09-09,287287,10123,6128,91
2020-09-10,289123,10292,6204,94
2020-09-11,290781,10459,6246,96
2020-09-12,292905,10588,6287,97
2020-09-13,294314,10700,6333,99
2020-09-14,295337,10779,6353,99
2020-09-15,296833,10844,6398,100
2020-09-16,299056,10946,6419,103
2020-09-17,300903,11105,6474,107
2020-09-18,302737,11217,6537,120
2020-09-19,305021,11326,6599,120
2020-09-20,306155,11403,6602,120
2020-09-21,307339,11459,6604,120
2020-09-22,308221,11522,6677,120
2020-09-23,309678,11689,6773,122
2020-09-24,311046,11779,6822,124
2020-09-25,312514,11891,6874,127
2020-09-26,313873,12018,6914,131
2020-09-27,314685,12116,6946,132
2020-09-28,315281,12203,6961,132
2020-09-29,316306,12290,6994,134
2020-09-30,318026,12410,7021,136
2020-10-01,319574,12515,7054,139
2020-10-02,320634,12601,7106,142
2020-10-03,322078,12734,7134,153
2020-10-04,322925,12804,7162,156
2020-10-05,323714,12854,7192,157
2020-10-06,324650,12937,7229,160
2020-10-07,326142,13045,7259,163
2020-10-08,327407,13146,7294,164
2020-10-09,329032,13300,7348,166
2020-10-10,330269,13371,7393,168
2020-10-11,331409,13472,7416,169
2020-10-12,332311,13514,7429,169
2020-10-13,333304,13575,7454,173
2020-10-14,334601,13674,7162,183
2020-10-15,336241,13764,7492,184
2020-10-16,337850,13853,7556,185
2020-10-17,339384,13940,7607,186
2020-10-18,340558,14023,7638,187
2020-10-19,341310,14058,7657,187
2020-10-20,342438,14142,7674,187
2020-10-21,343750,14219,7704,203
2020-10-22,345535,14318,7729,206
2020-10-23,347759,14446,7766,209
2020-10-24,349605,14535,7808,212
2020-10-25,350923,14672,7809,212
2020-10-26,351805,14709,7821,212
2020-10-27,353343,14773,7837,215
2020-10-28,354979,14834,7866,213
2020-10-29,356783,14911,7912,215
2020-10-30,358183,15003,7947,216
2020-10-31,360728,15071,7971,219
2020-11-01,361934,15154,7973,219
2020-11-02,362889,15231,7993,219
2020-11-03,364571,15318,8021,219
2020-11-04,366427,15473,8065,219
2020-11-05,368345,15572,8116,219
2020-11-06,370075,15691,8154,219
2020-11-07,371805,15819,8190,220
2020-11-08,373057,15947,8191,221
2020-11-09,374149,16008,8219,221
2020-11-10,376032,16088,8259,222
2020-11-11,377677,16205,8325,222
2020-11-12,380169,16302,8393,222
2020-11-13,382479,16412,8409,222
2020-11-14,384968,16519,8447,222
2020-11-15,386909,16519,8448,222
2020-11-16,387884,16613,8456,222
2020-11-17,391429,16665,8481,222
2020-11-18,393934,16734,8515,223
2020-11-19,396590,16841,8555,223
2020-11-20,399389,16936,8580,224
2020-11-21,402412,17098,8613,231
2020-11-22,404396,17220,8616,233
2020-11-23,406212,17333,8628,233
2020-11-24,408643,17393,8641,233
2020-11-25,411001,17501,8688,235
2020-11-26,413905,17618,8713,237
2020-11-27,416294,17708,8743,240
2020-11-28,418928,17784,8771,240
2020-11-29,420593,17840,8775,244
2020-11-30,422121,17925,8776,244
2020-12-01,424927,17968,8797,244
2020-12-02,428980,18044,8828,244
2020-12-03,433351,18186,8876,246
2020-12-04,438295,18290,8919,256
2020-12-05,442012,18423,8967,261
2020-12-06,443817,18527,8969,262
2020-12-07,448671,18608,9005,262
2020-12-08,452361,18661,9026,262
2020-12-09,456112,18741,9073,266
2020-12-10,462174,18864,9122,268
2020-12-11,466904,18951,9174,269
2020-12-12,471734,18951,9203,269
2020-12-13,476043,18951,9204,269
2020-12-14,479331,18951,9216,269
2020-12-15,484151,18951,9246,269
2020-12-16,488338,18951,9296,269
2020-12-17,494163,18951,9356,269
2020-12-18,500255,18951,9396,269
2020-12-19,504497,18951,9434,269
2020-12-20,509586,18951,9436,269
2020-12-21,512680,18951,9452,269
2020-12-22,518893,18951,9502,269
2020-12-23,524055,18951,9554,269
2020-12-24,531953,18951,9607,269
2020-12-25,537076,18951,9656,269
2020-12-26,540753,18951,9708,269
2020-12-27,543707,18951,9713,269
2020-12-28,546857,18951,9718,269
2020-12-29,552712,18951,9759,269
2020-12-30,558177,18951,9808,269
2020-12-31,566675,18951,9872,269
2021-01-01,575395,18951,9889,269
2021-01-02,581999,18951,9891,269
2021-01-03,587076,18951,9893,269
2021-01-04,591104,18951,9900,269
2021-01-05,597204,22168,9966,291
2021-01-06,602796,22310,10035,301
2021-01-07,609865,22660,10100,301
2021-01-08,620247,22895,10180,303
2021-01-09,629204,23143,10280,307
2021-01-10,636366,23341,10282,309
2021-01-11,642696,23513,10299,309
2021-01-12,648690,23627,10443,309
2021-01-13,654356,23733,10580,312
2021-01-14,660720,24500,10721,318
2021-01-15,668065,24091,10878,317
2021-01-16,674993,24245,11029,320
2021-01-17,680374,24368,11032,322
2021-01-18,684751,24488,11095,322
2021-01-19,684743,24546,11095,324
2021-01-20,695388,24620,11409,325
2021-01-21,701290,24739,11511,327
2021-01-22,707731,24870,11669,327
2021-01-23,714303,25003,11798,328
2021-01-24,718522,25154,11801,327
2021-01-25,722055,25275,11854,342
2021-01-26,727750,25339,11996,342
2021-01-27,731826,25442,12135,401
2021-01-28,737205,25541,12280,401
2021-01-29,741991,25656,12410,401
2021-01-30,746867,25771,12568,401
2021-01-31,749867,25853,12570,401
2021-02-01,752448,25943,12613,410
2021-02-02,755412,26007,12772,410
2021-02-03,759228,26081,12907,414
2021-02-04,763077,26187,13048,419
2021-02-05,766604,26286,13146,416
2021-02-06,769826,26393,13324,416
2021-02-07,772979,26468,13327,418
2021-02-08,775468,26531,13362,418
2021-02-09,778049,26531,13481,418
2021-02-10,780498,26584,13602,423
2021-02-11,783831,26675,13675,424
2021-02-12,786281,26743,13858,425
2021-02-13,789071,26810,13962,425
2021-02-14,790784,26856,13965,426
2021-02-15,792515,26889,13998,426
2021-02-16,794352,26906,14177,426
2021-02-17,796549,26935,14255,427
2021-02-18,798793,27000,14363,428
2021-02-19,800970,27048,14532,430
2021-02-20,803358,27071,14630,430
2021-02-21,804823,27089,14634,431
2021-02-22,806135,27223,14690,431
2021-02-23,808426,27223,14767,431
2021-02-24,810479,27320,14883,435
2021-02-25,812615,27358,14990,435
2021-02-26,814824,27399,15012,437
2021-02-27,816986,27503,15068,439
2021-02-28,818522,27559,15070,439
2021-03-01,819739,27588,15149,439
2021-03-02,821489,27623,15212,439
2021-03-03,823025,27640,15351,441
2021-03-04,824825,27699,15464,441
2021-03-05,826161,27753,15531,443
2021-03-06,827502,27838,15604,444
2021-03-07,828400,27838,15605,444
2021-03-08,829125,27935,15645,445
2021-03-09,830161,27977,15653,445
2021-03-10,831318,28023,15712,448
2021-03-11,832529,28081,15791,448
2021-03-12,833720,28145,15851,449
2021-03-13,834753,28145,15889,449
2021-03-14,835534,28259,15889,451
2021-03-15,836395,28305,15936,451
2021-03-16,837508,28352,15952,451
2021-03-17,838759,28421,16022,451
2021-03-18,840022,28509,16077,451
2021-03-19,841268,28509,16115,451
2021-03-20,842479,28694,16164,453
2021-03-21,843348,28773,16164,454
2021-03-22,843872,28851,16190,454
2021-03-23,844937,28892,16206,454
2021-03-24,845789,28950,16274,457
2021-03-25,846931,29071,16352,458
2021-03-26,847976,29194,16432,459
2021-03-27,849002,29306,16500,462
2021-03-28,849735,29408,16501,462
2021-03-29,850534,29408,16536,462
2021-03-30,851428,29581,16549,462
2021-03-31,852504,29681,16620,463
2021-04-01,853394,29794,16877,463
2021-04-02,854518,29927,16878,463
2021-04-03,855276,30039,16900,467
